"actor","action","endpoint_or_method","permission","automated_or_manual","notes","source_file"
"user_ui","open_swap","/swap","session+accepted","manual","Primary trading surface","frontend/src/App.tsx"
"user_ui","open_portfolio","/portfolio","session+accepted","manual","Portfolio and AMOE card","frontend/src/App.tsx"
"user_ui","open_positions","/positions","session+accepted","manual","Positions view","frontend/src/App.tsx"
"user_ui","open_deploy","/deploy","session+accepted","manual","Creator vault deployment flow","frontend/src/App.tsx"
"user_ui","open_coin_manage","/coin/:address/manage","session+accepted","manual","Creator coin management","frontend/src/App.tsx"
"user_ui","open_creator_earnings","/creator/earnings","session+accepted","manual","Creator earnings view","frontend/src/App.tsx"
"user_ui","open_vote","/vote","session+accepted","manual","Gauge voting page","frontend/src/App.tsx"
"user_ui","open_auction_bid","/auction/bid/:address","session+accepted","manual","CCA bidding UX","frontend/src/App.tsx"
"user_ui","open_complete_auction","/complete-auction/:strategy","session+accepted","manual","Post-graduation completion UX","frontend/src/App.tsx"
"user_ui","open_vault","/vault/:address","session+accepted","manual","Vault detail page","frontend/src/App.tsx"
"user_ui","open_agent_directory","/agents","session+accepted","manual","Agent directory","frontend/src/App.tsx"
"user_ui","open_agent_register","/agents/register","session+accepted","manual","Agent registration UX","frontend/src/App.tsx"
"user_ui","open_agent_uri_service","/agents/uri-service","session+accepted","manual","Agent URI service UX","frontend/src/App.tsx"
"user_ui","open_explore_creators","/explore/creators","session+accepted","manual","Creator discovery","frontend/src/App.tsx"
"user_ui","open_explore_content","/explore/content","session+accepted","manual","Content discovery","frontend/src/App.tsx"
"user_ui","open_explore_trends","/explore/trends","session+accepted","manual","Trends discovery","frontend/src/App.tsx"
"user_ui","open_explore_transactions","/explore/transactions","session+accepted","manual","Transactions discovery","frontend/src/App.tsx"
"user_ui","open_accounts","/accounts","session","manual","Account linking/settings","frontend/src/App.tsx"
"user_ui","open_status","/status","marketing host","manual","Protocol status page","frontend/src/App.tsx"
"user_ui","open_leaderboard","/leaderboard","public route","manual","Leaderboard page","frontend/src/App.tsx"
"user_ui","open_faq","/faq","marketing host","manual","FAQ","frontend/src/App.tsx"
"user_ui","open_distribute_cca_launch","/distribute/cca-launch","marketing host","manual","Distribution info","frontend/src/App.tsx"

"user_amoe","read_credits","GET /api/v1/lottery/amoe/credits","wallet authority check","manual","Reads AMOE credit snapshot","frontend/api/_handlers/v1/lottery/_amoeCredits.ts"
"user_amoe","claim_daily_twitter_credit","POST /api/v1/lottery/amoe/twitter-checkin","auth + rate limited","manual","Awards +1 daily credit","frontend/api/_handlers/v1/lottery/_amoeTwitterCheckin.ts"
"user_amoe","issue_nonce","GET /api/v1/lottery/amoe/nonce","wallet authority + rate limited","manual","Issues nonce and signable challenge","frontend/api/_handlers/v1/lottery/_amoeNonce.ts"
"user_amoe","sign_challenge","walletClient.signMessage(message)","wallet signature","manual","User signs AMOE challenge","frontend/src/components/lottery/AmoeEntryCard.tsx"
"user_amoe","submit_amoe_proof","POST /api/v1/lottery/amoe/submit","proof verification + rate limit","manual/hybrid","Returns calldata or relays transaction","frontend/api/_handlers/v1/lottery/_amoeSubmit.ts"
"user_amoe","relay_amoe_tx","relayAmoeEntryTransaction(to,callData)","relay keys configured","automated","Server-submitted AMOE tx path","frontend/api/_handlers/v1/lottery/_amoeSubmit.ts"
"user_amoe","client_send_amoe_tx","walletClient.sendTransaction(to,callData)","wallet tx approval","manual","Client-submitted AMOE tx path","frontend/src/components/lottery/AmoeEntryCard.tsx"
"user_amoe","wait_for_amoe_receipt","publicClient.waitForTransactionReceipt(hash)","n/a","manual","Confirms onchain AMOE entry","frontend/src/components/lottery/AmoeEntryCard.tsx"
"user_amoe","consume_amoe_credits","consumeAmoeCreditsForEntry(wallet)","sufficient credits","automated","Debits credits per entry","frontend/server/_lib/lotteryAmoe.ts"

"user_api_read","read_lottery_global","GET /api/v1/lottery/global","read","manual","Global lottery stats/config","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_lottery_creator","GET /api/v1/lottery/creator/{creatorCoin}","read","manual","Per-creator lottery stats","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_recent_winners","GET /api/v1/lottery/recentWinners","read","manual","Recent lottery winners","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_vault_report","GET /api/v1/vault/{address}/report","read","manual","Vault report payload","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_vault_strategies","GET /api/v1/vault/{address}/strategies","read","manual","Vault strategy payload","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_auction_status","GET /api/v1/auction/{address}/status","read","manual","Auction status","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_auction_activity","GET /api/v1/auction/{address}/activity","read","manual","Auction live activity","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_auction_recent_bids","GET /api/v1/auction/{address}/recentBids","read","manual","Recent bids","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_gauge_epoch","GET /api/v1/gauge/epoch","read","manual","Gauge epoch state","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_gauge_vaults","GET /api/v1/gauge/vaults","read","manual","Gauge vault weights","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_gauge_user_votes","GET /api/v1/gauge/user/{address}","read","manual","User vote distribution","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_ve4626_user","GET /api/v1/ve4626/user/{address}","read","manual","ve4626 lock/power","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_charm_strategy","GET /api/v1/charm/strategy/{address}","read","manual","Charm strategy status","frontend/api/_handlers/_routes.v1.ts"
"user_api_read","read_openapi_spec","GET /api/v1/spec.json","read","manual","Agent-facing API spec","frontend/api/_handlers/v1/_spec.ts"

"user_api_build","build_submit_bid","POST /api/v1/build/auction/submitBid","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_gauge_vote","POST /api/v1/build/gauge/vote","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_gauge_reset_votes","POST /api/v1/build/gauge/resetVotes","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ve_lock","POST /api/v1/build/ve4626/lock","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ve_extend","POST /api/v1/build/ve4626/extend","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
